agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	403734080063001	72019	299642	1988	2	5.659
USGS	403734080063001	72019	299642	1988	4	5.197
USGS	403734080063001	72019	299642	1988	5	5.412
USGS	403734080063001	72019	299642	1988	8	7.442
USGS	403734080063001	72019	299642	1988	11	7.576
USGS	403734080063001	72019	299642	1988	12	7.687
USGS	403734080063001	72019	299642	1989	2	6.962
USGS	403734080063001	72019	299642	1989	3	6.438
USGS	403734080063001	72019	299642	1989	5	5.572
USGS	403734080063001	72019	299642	1989	9	7.664
USGS	403734080063001	72019	299642	1990	1	7.311
USGS	403734080063001	72019	299642	1990	5	5.649
USGS	403734080063001	72019	299642	1990	6	5.999
USGS	403734080063001	72019	299642	1990	7	6.415
USGS	403734080063001	72019	299642	1990	9	6.341
USGS	403734080063001	72019	299642	1990	10	6.116
USGS	403734080063001	72019	299642	1990	12	5.581
USGS	403734080063001	72019	299642	1991	1	5.114
USGS	403734080063001	72019	299642	1991	2	5.411
USGS	403734080063001	72019	299642	1991	3	5.467
USGS	403734080063001	72019	299642	1991	5	5.811
USGS	403734080063001	72019	299642	1991	6	6.647
USGS	403734080063001	72019	299642	1991	9	8.193
USGS	403734080063001	72019	299642	1991	10	8.087
USGS	403734080063001	72019	299642	1991	11	8.046
USGS	403734080063001	72019	299642	1991	12	7.832
USGS	403734080063001	72019	299642	1992	1	7.467
USGS	403734080063001	72019	299642	1992	2	7.048
USGS	403734080063001	72019	299642	1992	3	6.591
USGS	403734080063001	72019	299642	1992	4	6.338
USGS	403734080063001	72019	299642	1992	5	6.47
USGS	403734080063001	72019	299642	1992	6	7.043
USGS	403734080063001	72019	299642	1992	7	7.383
USGS	403734080063001	72019	299642	1992	8	6.704
USGS	403734080063001	72019	299642	1992	9	6.59
USGS	403734080063001	72019	299642	1992	10	6.593
USGS	403734080063001	72019	299642	1992	11	6.394
USGS	403734080063001	72019	299642	1993	1	5.841
USGS	403734080063001	72019	299642	1993	2	5.816
USGS	403734080063001	72019	299642	1993	3	5.377
USGS	403734080063001	72019	299642	1993	5	5.825
USGS	403734080063001	72019	299642	1993	6	6.43
USGS	403734080063001	72019	299642	1993	7	6.755
USGS	403734080063001	72019	299642	1993	8	7.228
USGS	403734080063001	72019	299642	1993	9	7.431
USGS	403734080063001	72019	299642	1993	11	6.991
USGS	403734080063001	72019	299642	1993	12	6.475
USGS	403734080063001	72019	299642	1994	1	6.66
USGS	403734080063001	72019	299642	1994	2	6.277
USGS	403734080063001	72019	299642	1994	3	5.757
USGS	403734080063001	72019	299642	1994	4	5.655
USGS	403734080063001	72019	299642	1994	5	6.193
USGS	403734080063001	72019	299642	1994	6	6.903
USGS	403734080063001	72019	299642	1994	7	7.099
USGS	403734080063001	72019	299642	1994	8	6.72
USGS	403734080063001	72019	299642	1994	11	6.45
USGS	403734080063001	72019	299642	1994	12	5.921
USGS	403734080063001	72019	299642	1995	1	5.924
USGS	403734080063001	72019	299642	1995	2	6.064
USGS	403734080063001	72019	299642	1995	3	5.751
USGS	403734080063001	72019	299642	1995	4	5.78
USGS	403734080063001	72019	299642	1995	5	5.701
USGS	403734080063001	72019	299642	1995	8	7.109
USGS	403734080063001	72019	299642	1995	9	7.579
USGS	403734080063001	72019	299642	1995	10	7.466
USGS	403734080063001	72019	299642	1995	11	7.162
USGS	403734080063001	72019	299642	1995	12	7.1
USGS	403734080063001	72019	299642	1996	1	6.627
USGS	403734080063001	72019	299642	1996	2	6.309
USGS	403734080063001	72019	299642	1996	3	5.838
USGS	403734080063001	72019	299642	1996	4	5.716
USGS	403734080063001	72019	299642	1996	5	5.502
USGS	403734080063001	72019	299642	1996	6	5.982
USGS	403734080063001	72019	299642	1996	7	6.22
USGS	403734080063001	72019	299642	1996	8	6.865
USGS	403734080063001	72019	299642	1996	9	7.013
USGS	403734080063001	72019	299642	1996	10	6.6
USGS	403734080063001	72019	299642	1996	11	6.035
USGS	403734080063001	72019	299642	1996	12	5.624
USGS	403734080063001	72019	299642	1997	1	5.645
USGS	403734080063001	72019	299642	1997	2	5.384
USGS	403734080063001	72019	299642	1997	3	4.946
USGS	403734080063001	72019	299642	1997	4	5.242
USGS	403734080063001	72019	299642	1997	5	5.396
USGS	403734080063001	72019	299642	1997	6	5.342
USGS	403734080063001	72019	299642	1997	7	6.28
USGS	403734080063001	72019	299642	1997	8	6.877
USGS	403734080063001	72019	299642	1997	9	6.917
USGS	403734080063001	72019	299642	1997	10	7.119
USGS	403734080063001	72019	299642	1997	11	6.696
USGS	403734080063001	72019	299642	1997	12	6.279
USGS	403734080063001	72019	299642	1998	1	5.999
USGS	403734080063001	72019	299642	1998	2	5.801
