agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	404745075184001	72019	120917	2001	6	42.191
USGS	404745075184001	72019	120917	2001	7	45.061
USGS	404745075184001	72019	120917	2001	8	46.969
USGS	404745075184001	72019	120917	2001	9	47.859
USGS	404745075184001	72019	120917	2001	11	49.277
USGS	404745075184001	72019	120917	2001	12	49.384
USGS	404745075184001	72019	120917	2002	1	49.43
USGS	404745075184001	72019	120917	2002	2	48.508
USGS	404745075184001	72019	120917	2002	3	47.866
USGS	404745075184001	72019	120917	2002	4	44.512
USGS	404745075184001	72019	120917	2002	5	38.065
USGS	404745075184001	72019	120917	2002	6	40.273
USGS	404745075184001	72019	120917	2002	7	44.518
USGS	404745075184001	72019	120917	2002	8	47.206
USGS	404745075184001	72019	120917	2002	9	48.136
USGS	404745075184001	72019	120917	2002	10	45.325
USGS	404745075184001	72019	120917	2002	11	43.402
USGS	404745075184001	72019	120917	2002	12	40.293
USGS	404745075184001	72019	120917	2003	1	38.2
USGS	404745075184001	72019	120917	2003	2	43.434
USGS	404745075184001	72019	120917	2003	3	36.887
USGS	404745075184001	72019	120917	2003	4	37.536
USGS	404745075184001	72019	120917	2003	5	42.555
USGS	404745075184001	72019	120917	2003	6	32.532
USGS	404745075184001	72019	120917	2003	7	41.049
USGS	404745075184001	72019	120917	2003	8	39.891
USGS	404745075184001	72019	120917	2003	9	40.96
USGS	404745075184001	72019	120917	2003	10	37.785
USGS	404745075184001	72019	120917	2003	11	35.113
USGS	404745075184001	72019	120917	2003	12	33.506
USGS	404745075184001	72019	120917	2004	1	38.534
USGS	404745075184001	72019	120917	2004	2	41.123
USGS	404745075184001	72019	120917	2004	3	40.347
USGS	404745075184001	72019	120917	2004	4	39.405
USGS	404745075184001	72019	120917	2004	5	40.725
USGS	404745075184001	72019	120917	2004	6	44.379
USGS	404745075184001	72019	120917	2004	7	45.047
USGS	404745075184001	72019	120917	2004	8	40.914
USGS	404745075184001	72019	120917	2004	9	32.622
USGS	404745075184001	72019	120917	2004	10	37.625
USGS	404745075184001	72019	120917	2004	11	42.42
USGS	404745075184001	72019	120917	2004	12	33.911
USGS	404745075184001	72019	120917	2005	2	39.676
USGS	404745075184001	72019	120917	2005	3	39.389
USGS	404745075184001	72019	120917	2005	4	31.923
USGS	404745075184001	72019	120917	2005	5	40.623
USGS	404745075184001	72019	120917	2005	6	44.786
USGS	404745075184001	72019	120917	2005	7	46.621
USGS	404745075184001	72019	120917	2005	8	47.749
USGS	404745075184001	72019	120917	2005	9	48.731
USGS	404745075184001	72019	120917	2005	11	41.451
USGS	404745075184001	72019	120917	2005	12	38.464
USGS	404745075184001	72019	120917	2006	1	33.423
