agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	444302070252401	72019	65291	2001	12	30.518
USGS	444302070252401	72019	65291	2002	1	30.704
USGS	444302070252401	72019	65291	2002	2	30.754
USGS	444302070252401	72019	65291	2002	3	29.133
USGS	444302070252401	72019	65291	2002	4	21.174
USGS	444302070252401	72019	65291	2002	5	18.466
USGS	444302070252401	72019	65291	2002	6	20.3
USGS	444302070252401	72019	65291	2002	7	22.787
USGS	444302070252401	72019	65291	2002	9	27.418
USGS	444302070252401	72019	65291	2002	10	28.758
USGS	444302070252401	72019	65291	2002	11	30.1
USGS	444302070252401	72019	65291	2002	12	30.179
USGS	444302070252401	72019	65291	2003	1	30.17
USGS	444302070252401	72019	65291	2003	2	30.33
USGS	444302070252401	72019	65291	2003	3	30.594
USGS	444302070252401	72019	65291	2003	4	25.234
USGS	444302070252401	72019	65291	2003	5	22.178
USGS	444302070252401	72019	65291	2003	6	23.672
USGS	444302070252401	72019	65291	2003	9	27.78
USGS	444302070252401	72019	65291	2003	10	26.426
USGS	444302070252401	72019	65291	2003	11	19.484
USGS	444302070252401	72019	65291	2003	12	19.059
USGS	444302070252401	72019	65291	2004	1	20.842
USGS	444302070252401	72019	65291	2004	2	24.417
USGS	444302070252401	72019	65291	2004	3	25.561
USGS	444302070252401	72019	65291	2004	4	19.686
USGS	444302070252401	72019	65291	2004	5	21.124
USGS	444302070252401	72019	65291	2004	6	23.729
USGS	444302070252401	72019	65291	2004	7	26.119
USGS	444302070252401	72019	65291	2004	8	26.509
USGS	444302070252401	72019	65291	2004	9	26.19
USGS	444302070252401	72019	65291	2004	10	27.256
USGS	444302070252401	72019	65291	2004	11	27.258
USGS	444302070252401	72019	65291	2004	12	22.526
USGS	444302070252401	72019	65291	2005	1	23.051
USGS	444302070252401	72019	65291	2005	2	24.921
USGS	444302070252401	72019	65291	2005	3	25.941
USGS	444302070252401	72019	65291	2005	4	19.039
USGS	444302070252401	72019	65291	2005	5	18.319
USGS	444302070252401	72019	65291	2005	6	19.874
USGS	444302070252401	72019	65291	2005	7	24.021
USGS	444302070252401	72019	65291	2005	8	26.539
USGS	444302070252401	72019	65291	2005	9	27.98
USGS	444302070252401	72019	65291	2005	10	25.725
USGS	444302070252401	72019	65291	2005	11	18.461
USGS	444302070252401	72019	65291	2005	12	19.632
USGS	444302070252401	72019	65291	2006	1	20.823
USGS	444302070252401	72019	65291	2006	2	21.001
USGS	444302070252401	72019	65291	2006	3	23.476
USGS	444302070252401	72019	65291	2006	4	22.641
USGS	444302070252401	72019	65291	2006	5	21.862
USGS	444302070252401	72019	65291	2006	6	20.592
USGS	444302070252401	72019	65291	2006	7	23.036
USGS	444302070252401	72019	65291	2006	8	25.496
USGS	444302070252401	72019	65291	2006	9	27.012
USGS	444302070252401	72019	65291	2006	10	27.888
USGS	444302070252401	72019	65291	2006	11	23.162
USGS	444302070252401	72019	65291	2006	12	22.038
USGS	444302070252401	72019	65291	2007	1	22.465
USGS	444302070252401	72019	65291	2007	2	24.197
USGS	444302070252401	72019	65291	2007	3	25.354
USGS	444302070252401	72019	65291	2007	4	20.186
USGS	444302070252401	72019	65291	2007	5	18.237
USGS	444302070252401	72019	65291	2007	6	21.8
USGS	444302070252401	72019	65291	2007	7	24.974
USGS	444302070252401	72019	65291	2007	8	26.343
USGS	444302070252401	72019	65291	2007	9	27.299
USGS	444302070252401	72019	65291	2007	10	28.209
USGS	444302070252401	72019	65291	2007	11	25.36
USGS	444302070252401	72019	65291	2007	12	22.279
USGS	444302070252401	72019	65291	2008	1	22.26
USGS	444302070252401	72019	65291	2008	2	23.367
USGS	444302070252401	72019	65291	2008	3	23.311
USGS	444302070252401	72019	65291	2008	4	19.64
USGS	444302070252401	72019	65291	2008	5	19.095
USGS	444302070252401	72019	65291	2008	6	20.77
USGS	444302070252401	72019	65291	2008	7	19.343
USGS	444302070252401	72019	65291	2008	8	18.936
USGS	444302070252401	72019	65291	2008	9	24.122
USGS	444302070252401	72019	65291	2008	10	24.782
USGS	444302070252401	72019	65291	2008	11	21.54
USGS	444302070252401	72019	65291	2008	12	18.873
USGS	444302070252401	72019	65291	2009	1	22.569
USGS	444302070252401	72019	65291	2009	2	24.729
USGS	444302070252401	72019	65291	2009	3	25.266
USGS	444302070252401	72019	65291	2009	4	18.167
USGS	444302070252401	72019	65291	2009	5	20.048
USGS	444302070252401	72019	65291	2009	6	21.974
USGS	444302070252401	72019	65291	2009	7	18.406
USGS	444302070252401	72019	65291	2009	8	21.311
USGS	444302070252401	72019	65291	2009	9	24.118
USGS	444302070252401	72019	65291	2009	10	25.79
USGS	444302070252401	72019	65291	2009	11	23.929
USGS	444302070252401	72019	65291	2009	12	21.422
USGS	444302070252401	72019	65291	2010	1	23.332
USGS	444302070252401	72019	65291	2010	2	23.47
USGS	444302070252401	72019	65291	2010	3	22.554
USGS	444302070252401	72019	65291	2010	4	17.988
USGS	444302070252401	72019	65291	2010	5	21.685
USGS	444302070252401	72019	65291	2010	6	24.852
USGS	444302070252401	72019	65291	2010	7	26.548
USGS	444302070252401	72019	65291	2010	8	27.964
USGS	444302070252401	72019	65291	2010	9	29.038
USGS	444302070252401	72019	65291	2010	10	28.883
USGS	444302070252401	72019	65291	2010	11	23.821
USGS	444302070252401	72019	65291	2010	12	19.796
USGS	444302070252401	72019	65291	2011	1	21.292
USGS	444302070252401	72019	65291	2011	2	23.664
USGS	444302070252401	72019	65291	2011	3	23.79
USGS	444302070252401	72019	65291	2011	4	19.112
USGS	444302070252401	72019	65291	2011	5	17.736
USGS	444302070252401	72019	65291	2011	6	20.764
USGS	444302070252401	72019	65291	2011	7	24.335
USGS	444302070252401	72019	65291	2011	8	25.905
USGS	444302070252401	72019	65291	2011	9	23.014
USGS	444302070252401	72019	65291	2011	10	23.224
USGS	444302070252401	72019	65291	2011	11	23.311
USGS	444302070252401	72019	65291	2011	12	22.131
USGS	444302070252401	72019	65291	2012	1	23.074
USGS	444302070252401	72019	65291	2012	2	24.677
USGS	444302070252401	72019	65291	2012	3	23.935
USGS	444302070252401	72019	65291	2012	4	21.437
USGS	444302070252401	72019	65291	2012	5	20.307
USGS	444302070252401	72019	65291	2012	6	18.797
USGS	444302070252401	72019	65291	2012	7	21.767
USGS	444302070252401	72019	65291	2012	8	24.567
USGS	444302070252401	72019	65291	2012	9	25.245
USGS	444302070252401	72019	65291	2012	10	25.026
USGS	444302070252401	72019	65291	2012	11	21.562
USGS	444302070252401	72019	65291	2012	12	23.331
USGS	444302070252401	72019	65291	2013	1	23.289
USGS	444302070252401	72019	65291	2013	2	24.315
USGS	444302070252401	72019	65291	2013	3	24.819
USGS	444302070252401	72019	65291	2013	4	19.974
USGS	444302070252401	72019	65291	2013	5	20.166
USGS	444302070252401	72019	65291	2013	6	20.754
USGS	444302070252401	72019	65291	2013	7	22.017
USGS	444302070252401	72019	65291	2013	8	24.554
USGS	444302070252401	72019	65291	2013	9	24.919
USGS	444302070252401	72019	65291	2013	10	25.73
USGS	444302070252401	72019	65291	2013	11	26.841
USGS	444302070252401	72019	65291	2013	12	25.23
USGS	444302070252401	72019	65291	2014	1	24.618
USGS	444302070252401	72019	65291	2014	2	24.439
USGS	444302070252401	72019	65291	2014	3	25.907
USGS	444302070252401	72019	65291	2014	4	21.847
USGS	444302070252401	72019	65291	2014	5	17.643
USGS	444302070252401	72019	65291	2014	6	20.303
USGS	444302070252401	72019	65291	2014	7	22.09
USGS	444302070252401	72019	65291	2014	8	24.541
USGS	444302070252401	72019	65291	2014	9	26.425
USGS	444302070252401	72019	65291	2014	10	27.869
USGS	444302070252401	72019	65291	2014	11	27.38
USGS	444302070252401	72019	65291	2014	12	25.805
USGS	444302070252401	72019	65291	2015	1	23.078
USGS	444302070252401	72019	65291	2015	2	24.239
USGS	444302070252401	72019	65291	2015	3	25.491
USGS	444302070252401	72019	65291	2015	4	22.276
USGS	444302070252401	72019	65291	2015	5	19.95
USGS	444302070252401	72019	65291	2015	6	22.494
USGS	444302070252401	72019	65291	2015	7	23.231
USGS	444302070252401	72019	65291	2015	8	25.637
USGS	444302070252401	72019	65291	2015	9	27.219
USGS	444302070252401	72019	65291	2015	10	27.743
USGS	444302070252401	72019	65291	2015	11	26.972
USGS	444302070252401	72019	65291	2015	12	25.164
USGS	444302070252401	72019	65291	2016	1	22.135
USGS	444302070252401	72019	65291	2016	2	23.002
USGS	444302070252401	72019	65291	2016	3	19.892
USGS	444302070252401	72019	65291	2016	4	19.103
USGS	444302070252401	72019	65291	2016	5	21.653
USGS	444302070252401	72019	65291	2016	6	24.206
USGS	444302070252401	72019	65291	2016	7	26.023
USGS	444302070252401	72019	65291	2016	8	27.956
USGS	444302070252401	72019	65291	2016	9	29.33
USGS	444302070252401	72019	65291	2016	10	30.316
USGS	444302070252401	72019	65291	2016	11	30.943
USGS	444302070252401	72019	65291	2016	12	29.645
USGS	444302070252401	72019	65291	2017	1	28.176
USGS	444302070252401	72019	65291	2017	2	27.246
USGS	444302070252401	72019	65291	2017	3	24.149
USGS	444302070252401	72019	65291	2017	4	19.311
USGS	444302070252401	72019	65291	2017	5	17.277
USGS	444302070252401	72019	65291	2017	6	20.644
USGS	444302070252401	72019	65291	2017	7	23.555
USGS	444302070252401	72019	65291	2017	8	24.984
USGS	444302070252401	72019	65291	2017	9	25.717
USGS	444302070252401	72019	65291	2017	10	26.62
USGS	444302070252401	72019	65291	2017	11	22.267
USGS	444302070252401	72019	65291	2017	12	22.65
