agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	432310070393301	72019	65231	1989	10	19.739
USGS	432310070393301	72019	65231	1989	11	20.063
USGS	432310070393301	72019	65231	1989	12	20.022
USGS	432310070393301	72019	65231	1990	1	20.304
USGS	432310070393301	72019	65231	1990	2	20.48
USGS	432310070393301	72019	65231	1990	3	20.153
USGS	432310070393301	72019	65231	1990	4	18.877
USGS	432310070393301	72019	65231	1990	5	17.951
USGS	432310070393301	72019	65231	1990	6	17.41
USGS	432310070393301	72019	65231	1990	7	17.842
USGS	432310070393301	72019	65231	1990	8	18.508
USGS	432310070393301	72019	65231	1990	9	19.131
USGS	432310070393301	72019	65231	1990	12	18.06
USGS	432310070393301	72019	65231	1991	1	17.643
USGS	432310070393301	72019	65231	1991	2	18.167
USGS	432310070393301	72019	65231	1991	3	17.597
USGS	432310070393301	72019	65231	1991	4	17.163
USGS	432310070393301	72019	65231	1991	5	16.032
USGS	432310070393301	72019	65231	1991	6	16.574
USGS	432310070393301	72019	65231	1991	7	17.407
USGS	432310070393301	72019	65231	1991	8	17.786
USGS	432310070393301	72019	65231	1991	9	17.58
USGS	432310070393301	72019	65231	1991	10	18.037
USGS	432310070393301	72019	65231	1991	11	18.399
USGS	432310070393301	72019	65231	1991	12	17.854
USGS	432310070393301	72019	65231	1992	1	17.959
USGS	432310070393301	72019	65231	1992	2	17.797
USGS	432310070393301	72019	65231	1992	3	17.893
USGS	432310070393301	72019	65231	1992	4	18.138
USGS	432310070393301	72019	65231	1992	5	18.262
USGS	432310070393301	72019	65231	1992	6	17.872
USGS	432310070393301	72019	65231	1992	7	18.022
USGS	432310070393301	72019	65231	1992	8	18.696
USGS	432310070393301	72019	65231	1992	9	19.251
USGS	432310070393301	72019	65231	1992	10	19.822
USGS	432310070393301	72019	65231	1993	2	20.786
USGS	432310070393301	72019	65231	1993	3	20.625
USGS	432310070393301	72019	65231	1993	4	17.719
USGS	432310070393301	72019	65231	1993	5	17.019
USGS	432310070393301	72019	65231	1993	6	17.578
USGS	432310070393301	72019	65231	1993	7	18.152
USGS	432310070393301	72019	65231	1993	8	18.907
USGS	432310070393301	72019	65231	1993	9	19.539
USGS	432310070393301	72019	65231	1993	10	20.169
USGS	432310070393301	72019	65231	1993	11	20.748
USGS	432310070393301	72019	65231	1993	12	21.011
USGS	432310070393301	72019	65231	1994	1	20.006
USGS	432310070393301	72019	65231	1994	2	20.314
USGS	432310070393301	72019	65231	1994	3	20.504
USGS	432310070393301	72019	65231	1994	4	18.326
USGS	432310070393301	72019	65231	1994	5	17.621
USGS	432310070393301	72019	65231	1994	6	17.584
USGS	432310070393301	72019	65231	1994	7	18.199
USGS	432310070393301	72019	65231	1994	8	18.839
USGS	432310070393301	72019	65231	1994	9	19.431
USGS	432310070393301	72019	65231	1994	10	19.858
USGS	432310070393301	72019	65231	1994	11	20.23
USGS	432310070393301	72019	65231	1995	2	18.294
USGS	432310070393301	72019	65231	1995	5	18.267
USGS	432310070393301	72019	65231	1995	6	18.422
USGS	432310070393301	72019	65231	1995	7	18.893
USGS	432310070393301	72019	65231	1995	8	19.358
USGS	432310070393301	72019	65231	1995	9	19.879
USGS	432310070393301	72019	65231	1995	10	20.415
USGS	432310070393301	72019	65231	1995	11	20.304
USGS	432310070393301	72019	65231	1995	12	19.309
USGS	432310070393301	72019	65231	1996	1	19.801
USGS	432310070393301	72019	65231	1996	2	18.69
USGS	432310070393301	72019	65231	1996	3	18.275
USGS	432310070393301	72019	65231	1996	4	17.029
USGS	432310070393301	72019	65231	1996	5	15.93
USGS	432310070393301	72019	65231	1996	6	16.021
USGS	432310070393301	72019	65231	1996	7	16.881
USGS	432310070393301	72019	65231	1996	8	17.586
USGS	432310070393301	72019	65231	1996	9	18.282
USGS	432310070393301	72019	65231	1996	10	18.237
USGS	432310070393301	72019	65231	1997	1	16.289
USGS	432310070393301	72019	65231	1997	5	14.865
