agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	402643075150501	72019	120801	1983	10	48.943
USGS	402643075150501	72019	120801	1983	11	47.795
USGS	402643075150501	72019	120801	1983	12	44.84
USGS	402643075150501	72019	120801	1984	4	41.132
USGS	402643075150501	72019	120801	1984	5	41.147
USGS	402643075150501	72019	120801	1984	6	41.558
USGS	402643075150501	72019	120801	1984	7	41.811
USGS	402643075150501	72019	120801	1984	8	42.891
USGS	402643075150501	72019	120801	1984	9	44.713
USGS	402643075150501	72019	120801	1984	10	46.203
USGS	402643075150501	72019	120801	1984	11	45.768
USGS	402643075150501	72019	120801	1984	12	44.655
USGS	402643075150501	72019	120801	1985	1	43.244
USGS	402643075150501	72019	120801	1985	2	43.867
USGS	402643075150501	72019	120801	1985	3	42.803
USGS	402643075150501	72019	120801	1985	4	43.022
USGS	402643075150501	72019	120801	1985	5	42.949
USGS	402643075150501	72019	120801	1985	6	43.989
USGS	402643075150501	72019	120801	1985	7	45.502
USGS	402643075150501	72019	120801	1985	8	46.823
USGS	402643075150501	72019	120801	1985	9	48.046
USGS	402643075150501	72019	120801	1985	10	47.083
USGS	402643075150501	72019	120801	1985	11	46.216
USGS	402643075150501	72019	120801	1985	12	43.751
USGS	402643075150501	72019	120801	1986	1	44.143
USGS	402643075150501	72019	120801	1986	2	42.54
USGS	402643075150501	72019	120801	1986	4	41.94
USGS	402643075150501	72019	120801	1986	5	42.137
USGS	402643075150501	72019	120801	1986	6	43.579
USGS	402643075150501	72019	120801	1986	7	44.493
USGS	402643075150501	72019	120801	1986	8	44.913
USGS	402643075150501	72019	120801	1986	9	45.839
USGS	402643075150501	72019	120801	1986	10	46.786
USGS	402643075150501	72019	120801	1986	11	46.585
USGS	402643075150501	72019	120801	1986	12	43.291
USGS	402643075150501	72019	120801	1987	1	41.643
USGS	402643075150501	72019	120801	1987	2	41.796
USGS	402643075150501	72019	120801	1987	3	41.508
USGS	402643075150501	72019	120801	1987	4	40.906
USGS	402643075150501	72019	120801	1987	5	40.794
USGS	402643075150501	72019	120801	1987	6	42.825
USGS	402643075150501	72019	120801	1987	7	44.623
USGS	402643075150501	72019	120801	1987	8	46.134
USGS	402643075150501	72019	120801	1987	9	46.759
USGS	402643075150501	72019	120801	1987	10	46.444
USGS	402643075150501	72019	120801	1987	11	45.686
USGS	402643075150501	72019	120801	1987	12	43.86
USGS	402643075150501	72019	120801	1988	1	43.394
USGS	402643075150501	72019	120801	1988	4	41.803
USGS	402643075150501	72019	120801	1988	5	41.79
USGS	402643075150501	72019	120801	1988	6	42.327
USGS	402643075150501	72019	120801	1988	7	44.806
USGS	402643075150501	72019	120801	1988	8	45.842
USGS	402643075150501	72019	120801	1988	9	46.681
USGS	402643075150501	72019	120801	1988	10	47.341
USGS	402643075150501	72019	120801	1988	11	47.012
USGS	402643075150501	72019	120801	1988	12	45.049
USGS	402643075150501	72019	120801	1989	1	44.163
USGS	402643075150501	72019	120801	1989	4	41.101
USGS	402643075150501	72019	120801	1989	6	40.156
USGS	402643075150501	72019	120801	1989	7	40.518
USGS	402643075150501	72019	120801	1989	8	41.77
USGS	402643075150501	72019	120801	1989	9	42.52
USGS	402643075150501	72019	120801	1989	10	41.39
USGS	402643075150501	72019	120801	1989	11	40.96
USGS	402643075150501	72019	120801	1990	5	39.823
USGS	402643075150501	72019	120801	1990	6	40.002
USGS	402643075150501	72019	120801	1990	7	41.534
USGS	402643075150501	72019	120801	1990	8	43.684
USGS	402643075150501	72019	120801	1990	9	45.008
USGS	402643075150501	72019	120801	1991	8	46.2
USGS	402643075150501	72019	120801	1991	9	47.44
USGS	402643075150501	72019	120801	1991	10	47.877
USGS	402643075150501	72019	120801	1991	11	48.269
USGS	402643075150501	72019	120801	1991	12	46.821
USGS	402643075150501	72019	120801	1992	1	45.485
USGS	402643075150501	72019	120801	1992	2	44.849
USGS	402643075150501	72019	120801	1992	3	43.773
USGS	402643075150501	72019	120801	1992	4	43.211
USGS	402643075150501	72019	120801	1992	5	43.22
USGS	402643075150501	72019	120801	1992	6	43.078
USGS	402643075150501	72019	120801	1992	7	44.654
USGS	402643075150501	72019	120801	1992	8	45.889
USGS	402643075150501	72019	120801	1992	9	46.932
USGS	402643075150501	72019	120801	1992	10	47.2
USGS	402643075150501	72019	120801	1992	11	46.536
USGS	402643075150501	72019	120801	1993	2	42.594
USGS	402643075150501	72019	120801	1993	6	43.694
USGS	402643075150501	72019	120801	1994	6	42.652
USGS	402643075150501	72019	120801	1994	10	47.147
USGS	402643075150501	72019	120801	1994	11	47.47
USGS	402643075150501	72019	120801	1995	9	48.665
USGS	402643075150501	72019	120801	1996	6	42.677
USGS	402643075150501	72019	120801	1997	3	40.87
USGS	402643075150501	72019	120801	1997	4	40.609
USGS	402643075150501	72019	120801	1997	5	40.915
USGS	402643075150501	72019	120801	1997	6	41.825
USGS	402643075150501	72019	120801	1997	7	44.247
USGS	402643075150501	72019	120801	1997	8	45.511
USGS	402643075150501	72019	120801	1997	9	46.339
USGS	402643075150501	72019	120801	1997	10	47.262
USGS	402643075150501	72019	120801	1997	11	47.787
USGS	402643075150501	72019	120801	1997	12	47.374
USGS	402643075150501	72019	120801	1998	1	45.503
USGS	402643075150501	72019	120801	1998	2	43.43
USGS	402643075150501	72019	120801	1998	3	42.264
USGS	402643075150501	72019	120801	1998	4	41.571
USGS	402643075150501	72019	120801	1998	5	41.16
USGS	402643075150501	72019	120801	1998	7	44.551
USGS	402643075150501	72019	120801	1998	8	46.725
USGS	402643075150501	72019	120801	1998	12	49.855
USGS	402643075150501	72019	120801	1999	1	49.064
USGS	402643075150501	72019	120801	1999	2	46.599
USGS	402643075150501	72019	120801	1999	3	45.413
USGS	402643075150501	72019	120801	1999	4	44.49
USGS	402643075150501	72019	120801	1999	6	46.291
USGS	402643075150501	72019	120801	1999	9	48.589
USGS	402643075150501	72019	120801	1999	10	47.129
USGS	402643075150501	72019	120801	1999	11	45.932
USGS	402643075150501	72019	120801	1999	12	44.353
USGS	402643075150501	72019	120801	2000	1	43.572
USGS	402643075150501	72019	120801	2000	2	43.483
USGS	402643075150501	72019	120801	2000	3	41.681
USGS	402643075150501	72019	120801	2000	4	40.775
USGS	402643075150501	72019	120801	2000	5	41.008
USGS	402643075150501	72019	120801	2000	6	42.112
USGS	402643075150501	72019	120801	2000	7	43.878
USGS	402643075150501	72019	120801	2000	8	44.416
USGS	402643075150501	72019	120801	2000	9	45.144
USGS	402643075150501	72019	120801	2000	10	45.742
USGS	402643075150501	72019	120801	2000	11	46.213
USGS	402643075150501	72019	120801	2000	12	45.849
USGS	402643075150501	72019	120801	2001	1	44.533
USGS	402643075150501	72019	120801	2001	2	42.522
USGS	402643075150501	72019	120801	2001	3	41.127
USGS	402643075150501	72019	120801	2001	4	40.324
USGS	402643075150501	72019	120801	2001	5	41.482
