agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	440213070203201	72019	65248	2010	7	10.368
USGS	440213070203201	72019	65248	2010	8	10.841
USGS	440213070203201	72019	65248	2010	9	10.998
USGS	440213070203201	72019	65248	2010	10	10.658
USGS	440213070203201	72019	65248	2010	11	10.166
USGS	440213070203201	72019	65248	2010	12	9.781
USGS	440213070203201	72019	65248	2011	1	9.971
USGS	440213070203201	72019	65248	2011	2	10.251
USGS	440213070203201	72019	65248	2011	3	9.702
USGS	440213070203201	72019	65248	2011	4	8.939
USGS	440213070203201	72019	65248	2011	5	9.015
USGS	440213070203201	72019	65248	2011	6	9.521
USGS	440213070203201	72019	65248	2011	7	10.074
USGS	440213070203201	72019	65248	2011	8	10.538
USGS	440213070203201	72019	65248	2011	9	10.407
USGS	440213070203201	72019	65248	2011	10	10.14
USGS	440213070203201	72019	65248	2011	11	10.068
USGS	440213070203201	72019	65248	2011	12	9.767
USGS	440213070203201	72019	65248	2012	1	9.904
USGS	440213070203201	72019	65248	2012	2	10.131
USGS	440213070203201	72019	65248	2012	3	9.976
USGS	440213070203201	72019	65248	2012	4	9.943
USGS	440213070203201	72019	65248	2012	5	9.595
USGS	440213070203201	72019	65248	2012	6	8.965
USGS	440213070203201	72019	65248	2012	7	9.487
USGS	440213070203201	72019	65248	2012	8	10.044
USGS	440213070203201	72019	65248	2012	9	10.394
USGS	440213070203201	72019	65248	2012	10	10.386
USGS	440213070203201	72019	65248	2012	11	10.109
USGS	440213070203201	72019	65248	2012	12	10.056
USGS	440213070203201	72019	65248	2013	1	9.835
USGS	440213070203201	72019	65248	2013	2	10.045
USGS	440213070203201	72019	65248	2013	3	9.918
USGS	440213070203201	72019	65248	2013	4	9.557
USGS	440213070203201	72019	65248	2013	5	9.754
USGS	440213070203201	72019	65248	2013	6	9.803
USGS	440213070203201	72019	65248	2013	7	9.97
USGS	440213070203201	72019	65248	2013	8	10.188
USGS	440213070203201	72019	65248	2013	9	10.138
USGS	440213070203201	72019	65248	2013	10	10.421
USGS	440213070203201	72019	65248	2013	11	10.601
USGS	440213070203201	72019	65248	2013	12	10.374
USGS	440213070203201	72019	65248	2014	1	10.245
USGS	440213070203201	72019	65248	2014	2	10.326
USGS	440213070203201	72019	65248	2014	3	10.452
USGS	440213070203201	72019	65248	2014	4	9.424
USGS	440213070203201	72019	65248	2014	5	9.387
USGS	440213070203201	72019	65248	2014	6	9.68
USGS	440213070203201	72019	65248	2014	7	9.936
USGS	440213070203201	72019	65248	2014	8	9.835
USGS	440213070203201	72019	65248	2014	9	10.331
USGS	440213070203201	72019	65248	2014	10	10.515
USGS	440213070203201	72019	65248	2014	11	10.539
USGS	440213070203201	72019	65248	2015	1	10.013
USGS	440213070203201	72019	65248	2015	2	10.262
USGS	440213070203201	72019	65248	2015	3	10.468
USGS	440213070203201	72019	65248	2015	4	9.721
USGS	440213070203201	72019	65248	2015	5	9.754
USGS	440213070203201	72019	65248	2015	6	10.08
USGS	440213070203201	72019	65248	2015	7	10.3
USGS	440213070203201	72019	65248	2015	8	10.755
USGS	440213070203201	72019	65248	2015	9	11.095
USGS	440213070203201	72019	65248	2015	10	10.653
USGS	440213070203201	72019	65248	2015	11	10.529
USGS	440213070203201	72019	65248	2015	12	10.339
USGS	440213070203201	72019	65248	2016	1	9.994
USGS	440213070203201	72019	65248	2016	2	9.904
USGS	440213070203201	72019	65248	2016	3	9.557
USGS	440213070203201	72019	65248	2016	4	9.6
USGS	440213070203201	72019	65248	2016	5	9.836
USGS	440213070203201	72019	65248	2016	6	10.287
USGS	440213070203201	72019	65248	2016	7	10.763
USGS	440213070203201	72019	65248	2016	8	11.195
USGS	440213070203201	72019	65248	2016	9	11.527
USGS	440213070203201	72019	65248	2016	10	11.441
USGS	440213070203201	72019	65248	2016	11	10.899
USGS	440213070203201	72019	65248	2016	12	10.562
USGS	440213070203201	72019	65248	2017	1	10.512
USGS	440213070203201	72019	65248	2017	2	10.549
USGS	440213070203201	72019	65248	2017	3	10.35
USGS	440213070203201	72019	65248	2017	4	9.532
USGS	440213070203201	72019	65248	2017	5	9.403
USGS	440213070203201	72019	65248	2017	6	9.739
USGS	440213070203201	72019	65248	2017	7	10.248
USGS	440213070203201	72019	65248	2017	8	10.842
USGS	440213070203201	72019	65248	2017	9	10.934
USGS	440213070203201	72019	65248	2017	10	11.121
USGS	440213070203201	72019	65248	2017	11	10.224
USGS	440213070203201	72019	65248	2017	12	9.904
USGS	440213070203201	72019	65248	2018	1	9.877
USGS	440213070203201	72019	65248	2018	2	9.837
USGS	440213070203201	72019	65248	2018	3	9.569
USGS	440213070203201	72019	65248	2018	4	9.092
USGS	440213070203201	72019	65248	2018	5	9.073
USGS	440213070203201	72019	65248	2018	6	9.488
USGS	440213070203201	72019	65248	2018	7	9.922
USGS	440213070203201	72019	65248	2018	8	10.079
USGS	440213070203201	72019	65248	2018	9	10.252
USGS	440213070203201	72019	65248	2018	10	10.161
USGS	440213070203201	72019	65248	2018	11	9.786
USGS	440213070203201	72019	65248	2018	12	9.626
USGS	440213070203201	72019	65248	2019	1	9.546
USGS	440213070203201	72019	65248	2019	2	9.57
USGS	440213070203201	72019	65248	2019	3	9.638
USGS	440213070203201	72019	65248	2019	4	8.904
USGS	440213070203201	72019	65248	2019	5	8.719
USGS	440213070203201	72019	65248	2019	6	8.894
USGS	440213070203201	72019	65248	2019	7	9.219
USGS	440213070203201	72019	65248	2019	8	10.099
USGS	440213070203201	72019	65248	2019	9	10.492
